"Time","143028A","","143028A","",""
"and","10.00","","140.00","",""
"Date","Rainfall (mm)","","Discharge (Cumecs)","",""
"Date and time","Point","Quality","Point","Quality","Comments"
10:58:00 20/03/2017,        1.00,     83,      0.0064,     10, 
11:00:00 20/03/2017,        0.00,     83,      0.0070,     10, 
12:00:00 20/03/2017,        0.00,     83,      0.0259,     10, 
12:04:00 20/03/2017,        1.00,     83,      0.0259,     10, 
12:17:00 20/03/2017,        1.00,     83,      0.0272,     10, 
12:25:00 20/03/2017,        1.00,     83,      0.0299,     10, 
12:31:00 20/03/2017,        1.00,     83,      0.0335,     10, 
12:40:00 20/03/2017,        1.00,     83,      0.0718,     10, 
12:50:00 20/03/2017,        0.00,     83,      0.1915,     10, 
13:00:00 20/03/2017,        0.00,     83,      0.2220,     30, 
14:00:00 20/03/2017,        0.00,     83,      0.0673,     10, 
14:26:00 20/03/2017,        1.00,     83,      0.0873,     10, 
14:28:00 20/03/2017,        1.00,     83,      0.0873,     10, 
14:30:00 20/03/2017,        1.00,     83,      0.0886,     10, 
14:32:00 20/03/2017,        1.00,     83,      0.0886,     10, 
14:36:00 20/03/2017,        1.00,     83,      0.1032,     10, 
14:40:00 20/03/2017,        1.00,     83,      0.1283,     10, 
14:42:00 20/03/2017,        1.00,     83,      0.1283,     10, 
14:44:00 20/03/2017,        1.00,     83,      0.1283,     10, 
14:47:00 20/03/2017,        1.00,     83,      0.1819,     10, 
14:50:00 20/03/2017,        0.00,     83,      0.2878,     30, 
14:56:00 20/03/2017,        1.00,     83,      0.5061,     30, 
15:00:00 20/03/2017,        0.00,     83,      0.9639,     30, 
15:10:00 20/03/2017,        0.00,     83,      0.7310,     30, 
15:20:00 20/03/2017,        0.00,     83,      0.4222,     30, 
16:00:00 20/03/2017,        0.00,     83,      0.2810,     30, 
16:20:00 20/03/2017,        1.00,     83,      0.2612,     30, 
17:00:00 20/03/2017,        0.00,     83,      0.2402,     30, 
17:29:00 20/03/2017,        1.00,     83,      0.1994,     10, 
18:00:00 20/03/2017,        0.00,     83,      0.2260,     30, 
18:01:00 20/03/2017,        1.00,     83,      0.2260,     30, 
18:23:00 20/03/2017,        1.00,     83,      0.1915,     10, 
18:32:00 20/03/2017,        1.00,     83,      0.1819,     10, 
18:35:00 20/03/2017,        1.00,     83,      0.1819,     10, 
18:37:00 20/03/2017,        1.00,     83,      0.1819,     10, 
18:41:00 20/03/2017,        1.00,     83,      0.1877,     10, 
18:49:00 20/03/2017,        1.00,     83,      0.2340,     30, 
18:50:00 20/03/2017,        0.00,     83,      0.3449,     30, 
19:00:00 20/03/2017,        0.00,     83,      0.5308,     30, 
19:03:00 20/03/2017,        1.00,     83,      0.5308,     30, 
20:00:00 20/03/2017,        0.00,     83,      0.3499,     30, 
21:00:00 20/03/2017,        0.00,     83,      0.2946,     30, 
22:00:00 20/03/2017,        0.00,     83,      0.1763,     10, 
23:00:00 20/03/2017,        0.00,     83,      0.1176,     10, 
23:21:00 20/03/2017,        1.00,     83,      0.1074,     10, 
00:00:00 21/03/2017,        0.00,     83,      0.1103,     10, 
01:00:00 21/03/2017,        0.00,     83,      0.0764,     10, 
01:26:00 21/03/2017,        1.00,     83,      0.0684,     10, 
01:37:00 21/03/2017,        1.00,     83,      0.0684,     10, 
02:00:00 21/03/2017,        0.00,     83,      0.1546,     10, 
02:17:00 21/03/2017,        1.00,     83,      0.1744,     10, 
02:58:00 21/03/2017,        1.00,     83,      0.1478,     10, 
03:00:00 21/03/2017,        0.00,     83,      0.1461,     10, 
03:14:00 21/03/2017,        1.00,     83,      0.1529,     10, 
04:00:00 21/03/2017,        0.00,     83,      0.2923,     30, 
04:02:00 21/03/2017,        1.00,     83,      0.2923,     30, 
04:15:00 21/03/2017,        1.00,     83,      0.2969,     30, 
04:33:00 21/03/2017,        1.00,     83,      0.3860,     30, 
05:00:00 21/03/2017,        0.00,     83,      0.4372,     30, 
05:22:00 21/03/2017,        1.00,     83,      0.4133,     30, 
06:00:00 21/03/2017,        0.00,     83,      0.3781,     30, 
07:00:00 21/03/2017,        0.00,     83,      0.2656,     30, 
08:00:00 21/03/2017,        0.00,     83,      0.1819,     10, 
09:00:00 21/03/2017,        0.00,     83,      0.1314,     10, 
10:00:00 21/03/2017,        0.00,     83,      0.0991,     10, 
11:00:00 21/03/2017,        0.00,     83,      0.0775,     10, 
12:00:00 21/03/2017,        0.00,     83,      0.0673,     10, 
13:00:00 21/03/2017,        0.00,     83,      0.0651,     10, 
14:00:00 21/03/2017,        0.00,     83,      0.0620,     10, 
15:00:00 21/03/2017,        0.00,     83,      0.0579,     10, 
16:00:00 21/03/2017,        0.00,     83,      0.0511,     10, 
17:00:00 21/03/2017,        0.00,     83,      0.0483,     10, 
18:00:00 21/03/2017,        0.00,     83,      0.0448,     10, 
19:00:00 21/03/2017,        0.00,     83,      0.0414,     10, 
20:00:00 21/03/2017,        0.00,     83,      0.0373,     10, 
21:00:00 21/03/2017,        0.00,     83,      0.0350,     10, 
22:00:00 21/03/2017,        0.00,     83,      0.0320,     10, 
23:00:00 21/03/2017,        0.00,     83,      0.0306,     10, 
00:00:00 22/03/2017,        0.00,     83,      0.0292,     10, 
00:13:00 22/03/2017,        1.00,     83,      0.0285,     10, 
00:17:00 22/03/2017,        1.00,     83,      0.0285,     10, 
00:19:00 22/03/2017,        1.00,     83,      0.0285,     10, 
00:21:00 22/03/2017,        1.00,     83,      0.0299,     10, 
00:24:00 22/03/2017,        1.00,     83,      0.0299,     10, 
00:26:00 22/03/2017,        1.00,     83,      0.0530,     10, 
00:27:00 22/03/2017,        1.00,     83,      0.0530,     10, 
00:30:00 22/03/2017,        0.00,     83,      0.0951,     10, 
00:37:00 22/03/2017,        1.00,     83,      0.4252,     30, 
00:50:00 22/03/2017,        0.00,     83,      0.6107,     30, 
01:00:00 22/03/2017,        0.00,     83,      0.3626,     30, 
02:00:00 22/03/2017,        0.00,     83,      0.2035,     10, 
03:00:00 22/03/2017,        0.00,     83,      0.2075,     10, 
03:58:00 22/03/2017,        1.00,     83,      0.1444,     10, 
04:00:00 22/03/2017,        0.00,     83,      0.1411,     10, 
04:15:00 22/03/2017,        1.00,     83,      0.2200,     10, 
04:20:00 22/03/2017,        0.00,     83,      0.2678,     30, 
05:00:00 22/03/2017,        0.00,     83,      0.2260,     30, 
06:00:00 22/03/2017,        0.00,     83,      0.1955,     10, 
07:00:00 22/03/2017,        0.00,     83,      0.2035,     10, 
08:00:00 22/03/2017,        0.00,     83,      0.1495,     10, 
09:00:00 22/03/2017,        0.00,     83,      0.1117,     10, 
10:00:00 22/03/2017,        0.00,     83,      0.0899,     10, 
11:00:00 22/03/2017,        0.00,     83,      0.0764,     10, 
11:38:00 22/03/2017,        1.00,     83,      0.0706,     10, 
12:00:00 22/03/2017,        0.00,     83,      0.0662,     10, 
13:00:00 22/03/2017,        0.00,     83,      0.0799,     10, 
14:00:00 22/03/2017,        0.00,     83,      0.1763,     10, 
15:00:00 22/03/2017,        0.00,     83,      0.1546,     10, 
16:00:00 22/03/2017,        0.00,     83,      0.1117,     10, 
17:00:00 22/03/2017,        0.00,     83,      0.1018,     10, 
18:00:00 22/03/2017,        0.00,     83,      0.0836,     10, 
19:00:00 22/03/2017,        0.00,     83,      0.0673,     10, 
20:00:00 22/03/2017,        0.00,     83,      0.0599,     10, 
21:00:00 22/03/2017,        0.00,     83,      0.0530,     10, 
22:00:00 22/03/2017,        0.00,     83,      0.0483,     10, 
23:00:00 22/03/2017,        0.00,     83,      0.0439,     10, 
00:00:00 23/03/2017,        0.00,     83,      0.0405,     10, 
01:00:00 23/03/2017,        0.00,     83,      0.0373,     10, 
02:00:00 23/03/2017,        0.00,     83,      0.0357,     10, 
03:00:00 23/03/2017,        0.00,     83,      0.0342,     10, 
04:00:00 23/03/2017,        0.00,     83,      0.0328,     10, 
05:00:00 23/03/2017,        0.00,     83,      0.0320,     10, 
06:00:00 23/03/2017,        0.00,     83,      0.0306,     10, 
07:00:00 23/03/2017,        0.00,     83,      0.0292,     10, 
08:00:00 23/03/2017,        0.00,     83,      0.0285,     10, 
09:00:00 23/03/2017,        0.00,     83,      0.0279,     10, 
10:00:00 23/03/2017,        0.00,     83,      0.0265,     10, 
11:00:00 23/03/2017,        0.00,     83,      0.0253,     10, 
12:00:00 23/03/2017,        0.00,     83,      0.0240,     10, 
13:00:00 23/03/2017,        0.00,     83,      0.0228,     10, 
14:00:00 23/03/2017,        0.00,     83,      0.0222,     10, 
15:00:00 23/03/2017,        0.00,     83,      0.0210,     10, 
16:00:00 23/03/2017,        0.00,     83,      0.0199,     10, 
17:00:00 23/03/2017,        0.00,     83,      0.0194,     10, 
18:00:00 23/03/2017,        0.00,     83,      0.0178,     10, 
19:00:00 23/03/2017,        0.00,     83,      0.0172,     10, 
20:00:00 23/03/2017,        0.00,     83,      0.0167,     10, 
21:00:00 23/03/2017,        0.00,     83,      0.0162,     10, 
22:00:00 23/03/2017,        0.00,     83,      0.0157,     10, 
23:00:00 23/03/2017,        0.00,     83,      0.0148,     10, 
00:00:00 24/03/2017,        0.00,     83,      0.0148,     10, 
00:20:00 24/03/2017,        1.00,     83,      0.0143,     10, 
00:31:00 24/03/2017,        1.00,     83,      0.0143,     10, 
00:52:00 24/03/2017,        1.00,     83,      0.0172,     10, 
01:00:00 24/03/2017,        0.00,     83,      0.0178,     10, 
02:00:00 24/03/2017,        0.00,     83,      0.0199,     10, 
03:00:00 24/03/2017,        0.00,     83,      0.0162,     10, 
04:00:00 24/03/2017,        0.00,     83,      0.0143,     10, 
05:00:00 24/03/2017,        0.00,     83,      0.0134,     10, 
06:00:00 24/03/2017,        0.00,     83,      0.0130,     10, 
07:00:00 24/03/2017,        0.00,     83,      0.0130,     10, 
08:00:00 24/03/2017,        0.00,     83,      0.0143,     10, 
09:00:00 24/03/2017,        0.00,     83,      0.0148,     10, 
10:00:00 24/03/2017,        0.00,     83,      0.0148,     10, 
11:00:00 24/03/2017,        0.00,     83,      0.0148,     10, 
12:00:00 24/03/2017,        0.00,     83,      0.0139,     10, 
13:00:00 24/03/2017,        0.00,     83,      0.0134,     10, 
14:00:00 24/03/2017,        0.00,     83,      0.0130,     10, 
14:06:00 24/03/2017,        1.00,     83,      0.0130,     10, 
14:07:00 24/03/2017,        1.00,     83,      0.0130,     10, 
14:08:00 24/03/2017,        1.00,     83,      0.0130,     10, 
14:09:00 24/03/2017,        1.00,     83,      0.0130,     10, 
14:10:00 24/03/2017,        1.00,     83,      0.0130,     10, 
14:12:00 24/03/2017,        1.00,     83,      0.0130,     10, 
14:13:00 24/03/2017,        1.00,     83,      0.0130,     10, 
14:14:00 24/03/2017,        1.00,     83,      0.0130,     10, 
14:15:00 24/03/2017,        1.00,     83,      0.0292,     10, 
14:16:00 24/03/2017,        1.00,     83,      0.0292,     10, 
14:19:00 24/03/2017,        1.00,     83,      0.0292,     10, 
14:20:00 24/03/2017,        1.00,     83,      0.1935,     10, 
14:21:00 24/03/2017,        1.00,     83,      0.1935,     10, 
14:22:00 24/03/2017,        1.00,     83,      0.1935,     10, 
14:23:00 24/03/2017,        1.00,     83,      0.1935,     10, 
14:24:00 24/03/2017,        2.00,     83,      0.1935,     10, 
14:25:00 24/03/2017,        1.00,     83,      1.9532,     30, 
14:26:00 24/03/2017,        3.00,     83,      1.9532,     30, 
14:27:00 24/03/2017,        2.00,     83,      1.9532,     30, 
14:28:00 24/03/2017,        2.00,     83,      1.9532,     30, 
14:29:00 24/03/2017,        1.00,     83,      1.9532,     30, 
14:30:00 24/03/2017,        1.00,     83,      2.3309,     30, 
14:31:00 24/03/2017,        1.00,     83,      2.3309,     30, 
14:34:00 24/03/2017,        1.00,     83,      2.3309,     30, 
14:35:00 24/03/2017,        1.00,     83,      3.0090,     30, 
14:36:00 24/03/2017,        2.00,     83,      3.0090,     30, 
14:37:00 24/03/2017,        1.00,     83,      3.0090,     30, 
14:40:00 24/03/2017,        1.00,     83,      3.5182,     30, 
14:43:00 24/03/2017,        1.00,     83,      3.5182,     30, 
14:50:00 24/03/2017,        0.00,     83,      5.8621,     30, 
14:52:00 24/03/2017,        1.00,     83,      5.8621,     30, 
15:00:00 24/03/2017,        0.00,     83,     10.2504,     30, 
15:10:00 24/03/2017,        0.00,     83,      8.2033,     30, 
15:20:00 24/03/2017,        0.00,     83,      4.3309,     30, 
15:30:00 24/03/2017,        0.00,     83,      3.5352,     30, 
15:40:00 24/03/2017,        0.00,     83,      3.0090,     30, 
15:50:00 24/03/2017,        0.00,     83,      2.5784,     30, 
16:00:00 24/03/2017,        0.00,     83,      2.2250,     30, 
17:00:00 24/03/2017,        0.00,     83,      0.9940,     30, 
18:00:00 24/03/2017,        0.00,     83,      0.4341,     30, 
19:00:00 24/03/2017,        0.00,     83,      0.3109,     30, 
20:00:00 24/03/2017,        0.00,     83,      0.2422,     30, 
21:00:00 24/03/2017,        0.00,     83,      0.1955,     10, 
22:00:00 24/03/2017,        0.00,     83,      0.1635,     10, 
23:00:00 24/03/2017,        0.00,     83,      0.1428,     10, 
00:00:00 25/03/2017,        0.00,     83,      0.1267,     10, 
01:00:00 25/03/2017,        0.00,     83,      0.1161,     10, 
02:00:00 25/03/2017,        0.00,     83,      0.1060,     10, 
03:00:00 25/03/2017,        0.00,     83,      0.0977,     10, 
04:00:00 25/03/2017,        0.00,     83,      0.0924,     10, 
05:00:00 25/03/2017,        0.00,     83,      0.0861,     10, 
06:00:00 25/03/2017,        0.00,     83,      0.0823,     10, 
07:00:00 25/03/2017,        0.00,     83,      0.0775,     10, 
08:00:00 25/03/2017,        0.00,     83,      0.0740,     10, 
09:00:00 25/03/2017,        0.00,     83,      0.0706,     10, 
10:00:00 25/03/2017,        0.00,     83,      0.0673,     10, 
11:00:00 25/03/2017,        0.00,     83,      0.0630,     10, 
12:00:00 25/03/2017,        0.00,     83,      0.0589,     10, 
13:00:00 25/03/2017,        0.00,     83,      0.0579,     10, 
14:00:00 25/03/2017,        0.00,     83,      0.0539,     10, 
15:00:00 25/03/2017,        0.00,     83,      0.0511,     10, 
16:00:00 25/03/2017,        0.00,     83,      0.0492,     10, 
17:00:00 25/03/2017,        0.00,     83,      0.0465,     10, 
18:00:00 25/03/2017,        0.00,     83,      0.0448,     10, 
19:00:00 25/03/2017,        0.00,     83,      0.0430,     10, 
20:00:00 25/03/2017,        0.00,     83,      0.0414,     10, 
21:00:00 25/03/2017,        0.00,     83,      0.0397,     10, 
22:00:00 25/03/2017,        0.00,     83,      0.0381,     10, 
23:00:00 25/03/2017,        0.00,     83,      0.0389,     10, 
00:00:00 26/03/2017,        0.00,     83,      0.0373,     10, 
01:00:00 26/03/2017,        0.00,     83,      0.0357,     10, 
02:00:00 26/03/2017,        0.00,     83,      0.0350,     10, 
03:00:00 26/03/2017,        0.00,     83,      0.0342,     10, 
04:00:00 26/03/2017,        0.00,     83,      0.0335,     10, 
05:00:00 26/03/2017,        0.00,     83,      0.0320,     10, 
06:00:00 26/03/2017,        0.00,     83,      0.0320,     10, 
07:00:00 26/03/2017,        0.00,     83,      0.0313,     10, 
08:00:00 26/03/2017,        0.00,     83,      0.0306,     10, 
09:00:00 26/03/2017,        0.00,     83,      0.0299,     10, 
10:00:00 26/03/2017,        0.00,     83,      0.0285,     10, 
11:00:00 26/03/2017,        0.00,     83,      0.0279,     10, 
12:00:00 26/03/2017,        0.00,     83,      0.0259,     10, 
13:00:00 26/03/2017,        0.00,     83,      0.0259,     10, 
14:00:00 26/03/2017,        0.00,     83,      0.0246,     10, 
15:00:00 26/03/2017,        0.00,     83,      0.0234,     10, 
16:00:00 26/03/2017,        0.00,     83,      0.0216,     10, 
17:00:00 26/03/2017,        0.00,     83,      0.0228,     10, 
18:00:00 26/03/2017,        0.00,     83,      0.0222,     10, 
19:00:00 26/03/2017,        0.00,     83,      0.0216,     10, 
20:00:00 26/03/2017,        0.00,     83,      0.0210,     10, 
21:00:00 26/03/2017,        0.00,     83,      0.0183,     10, 
22:00:00 26/03/2017,        0.00,     83,      0.0194,     10, 
23:00:00 26/03/2017,        0.00,     83,      0.0188,     10, 
00:00:00 27/03/2017,        0.00,     83,      0.0183,     10, 
01:00:00 27/03/2017,        0.00,     83,      0.0183,     10, 
02:00:00 27/03/2017,        0.00,     83,      0.0178,     10, 
03:00:00 27/03/2017,        0.00,     83,      0.0178,     10, 
04:00:00 27/03/2017,        0.00,     83,      0.0178,     10, 
05:00:00 27/03/2017,        0.00,     83,      0.0172,     10, 
06:00:00 27/03/2017,        0.00,     83,      0.0172,     10, 
07:00:00 27/03/2017,        0.00,     83,      0.0167,     10, 
08:00:00 27/03/2017,        0.00,     83,      0.0167,     10, 
09:00:00 27/03/2017,        0.00,     83,      0.0178,     10, 
10:00:00 27/03/2017,        0.00,     83,      0.0167,     10, 
11:00:00 27/03/2017,        0.00,     83,      0.0162,     10, 
12:00:00 27/03/2017,        0.00,     83,      0.0157,     10, 
13:00:00 27/03/2017,        0.00,     83,      0.0153,     10, 
14:00:00 27/03/2017,        0.00,     83,      0.0143,     10, 
15:00:00 27/03/2017,        0.00,     83,      0.0139,     10, 
16:00:00 27/03/2017,        0.00,     83,      0.0134,     10, 
17:00:00 27/03/2017,        0.00,     83,      0.0143,     10, 
18:00:00 27/03/2017,        0.00,     83,      0.0143,     10, 
19:00:00 27/03/2017,        0.00,     83,      0.0134,     10, 
20:00:00 27/03/2017,        0.00,     83,      0.0130,     10, 
21:00:00 27/03/2017,        0.00,     83,      0.0125,     10, 
22:00:00 27/03/2017,        0.00,     83,      0.0125,     10, 
23:00:00 27/03/2017,        0.00,     83,      0.0117,     10, 
00:00:00 28/03/2017,        0.00,     83,      0.0117,     10, 
01:00:00 28/03/2017,        0.00,     83,      0.0117,     10, 
02:00:00 28/03/2017,        0.00,     83,      0.0113,     10, 
03:00:00 28/03/2017,        0.00,     83,      0.0113,     10, 
04:00:00 28/03/2017,        0.00,     83,      0.0113,     10, 
05:00:00 28/03/2017,        0.00,     83,      0.0113,     10, 
06:00:00 28/03/2017,        0.00,     83,      0.0113,     10, 
07:00:00 28/03/2017,        0.00,     83,      0.0117,     10, 
08:00:00 28/03/2017,        0.00,     83,      0.0117,     10, 
09:00:00 28/03/2017,        0.00,     83,      0.0113,     10, 
10:00:00 28/03/2017,        0.00,     83,      0.0113,     10, 
11:00:00 28/03/2017,        0.00,     83,      0.0113,     10, 
12:00:00 28/03/2017,        0.00,     83,      0.0105,     10, 
13:00:00 28/03/2017,        0.00,     83,      0.0109,     10, 
14:00:00 28/03/2017,        0.00,     83,      0.0105,     10, 
15:00:00 28/03/2017,        0.00,     83,      0.0105,     10, 
16:00:00 28/03/2017,        0.00,     83,      0.0101,     10, 
17:00:00 28/03/2017,        0.00,     83,      0.0097,     10, 
18:00:00 28/03/2017,        0.00,     83,      0.0094,     10, 
19:00:00 28/03/2017,        0.00,     83,      0.0094,     10, 
20:00:00 28/03/2017,        0.00,     83,      0.0087,     10, 
21:00:00 28/03/2017,        0.00,     83,      0.0087,     10, 
22:00:00 28/03/2017,        0.00,     83,      0.0090,     10, 
23:00:00 28/03/2017,        0.00,     83,      0.0087,     10, 
00:00:00 29/03/2017,        0.00,     83,      0.0087,     10, 
01:00:00 29/03/2017,        0.00,     83,      0.0090,     10, 
02:00:00 29/03/2017,        0.00,     83,      0.0087,     10, 
03:00:00 29/03/2017,        0.00,     83,      0.0087,     10, 
04:00:00 29/03/2017,        0.00,     83,      0.0087,     10, 
05:00:00 29/03/2017,        0.00,     83,      0.0087,     10, 
06:00:00 29/03/2017,        0.00,     83,      0.0087,     10, 
07:00:00 29/03/2017,        0.00,     83,      0.0083,     10, 
08:00:00 29/03/2017,        0.00,     83,      0.0083,     10, 
09:00:00 29/03/2017,        0.00,     83,      0.0087,     10, 
10:00:00 29/03/2017,        0.00,     83,      0.0083,     10, 
11:00:00 29/03/2017,        0.00,     83,      0.0083,     10, 
12:00:00 29/03/2017,        0.00,     83,      0.0087,     10, 
13:00:00 29/03/2017,        0.00,     83,      0.0087,     10, 
13:41:00 29/03/2017,        1.00,     83,      0.0087,     10, 
14:00:00 29/03/2017,        0.00,     83,      0.0090,     10, 
15:00:00 29/03/2017,        0.00,     83,      0.0117,     10, 
15:12:00 29/03/2017,        1.00,     83,      0.0139,     10, 
16:00:00 29/03/2017,        0.00,     83,      0.0240,     10, 
16:20:00 29/03/2017,        1.00,     83,      0.0335,     10, 
16:28:00 29/03/2017,        1.00,     83,      0.0357,     10, 
16:30:00 29/03/2017,        1.00,     83,      0.0381,     10, 
16:31:00 29/03/2017,        1.00,     83,      0.0381,     10, 
16:33:00 29/03/2017,        1.00,     83,      0.0381,     10, 
16:38:00 29/03/2017,        1.00,     83,      0.0474,     10, 
16:40:00 29/03/2017,        0.00,     83,      0.1146,     10, 
16:44:00 29/03/2017,        1.00,     83,      0.1146,     10, 
16:50:00 29/03/2017,        0.00,     83,      0.9248,     30, 
17:00:00 29/03/2017,        0.00,     83,      0.5697,     30, 
17:20:00 29/03/2017,        0.00,     83,      0.4222,     30, 
18:00:00 29/03/2017,        0.00,     83,      0.3808,     30, 
18:05:00 29/03/2017,        1.00,     83,      0.3703,     30, 
19:00:00 29/03/2017,        0.00,     83,      0.2833,     30, 
20:00:00 29/03/2017,        0.00,     83,      0.1781,     10, 
21:00:00 29/03/2017,        0.00,     83,      0.1267,     10, 
22:00:00 29/03/2017,        0.00,     83,      0.0977,     10, 
23:00:00 29/03/2017,        0.00,     83,      0.0775,     10, 
23:28:00 29/03/2017,        1.00,     83,      0.0706,     10, 
23:31:00 29/03/2017,        1.00,     83,      0.0695,     10, 
23:35:00 29/03/2017,        1.00,     83,      0.0695,     10, 
23:38:00 29/03/2017,        1.00,     83,      0.0695,     10, 
23:41:00 29/03/2017,        1.00,     83,      0.0718,     10, 
23:48:00 29/03/2017,        1.00,     83,      0.0964,     10, 
23:50:00 29/03/2017,        0.00,     83,      0.1395,     10, 
00:00:00 30/03/2017,        0.00,     83,      0.4871,     30, 
00:04:00 30/03/2017,        1.00,     83,      0.4871,     30, 
00:22:00 30/03/2017,        1.00,     83,      0.3550,     30, 
00:37:00 30/03/2017,        1.00,     83,      0.4192,     30, 
01:00:00 30/03/2017,        0.00,     83,      0.6688,     30, 
01:04:00 30/03/2017,        1.00,     83,      0.6688,     30, 
02:00:00 30/03/2017,        0.00,     83,      0.7391,     30, 
02:34:00 30/03/2017,        1.00,     83,      0.4775,     30, 
03:00:00 30/03/2017,        0.00,     83,      0.3887,     30, 
03:02:00 30/03/2017,        1.00,     83,      0.3887,     30, 
04:00:00 30/03/2017,        0.00,     83,      0.4133,     30, 
04:29:00 30/03/2017,        1.00,     83,      0.4524,     30, 
04:44:00 30/03/2017,        1.00,     83,      0.6392,     30, 
04:50:00 30/03/2017,        1.00,     83,      0.6839,     30, 
04:51:00 30/03/2017,        1.00,     83,      0.6839,     30, 
05:00:00 30/03/2017,        0.00,     83,      1.6655,     30, 
05:10:00 30/03/2017,        0.00,     83,      1.9466,     30, 
05:13:00 30/03/2017,        2.00,     83,      1.9466,     30, 
05:14:00 30/03/2017,        1.00,     83,      1.9466,     30, 
05:22:00 30/03/2017,        1.00,     83,      1.6042,     30, 
05:30:00 30/03/2017,        0.00,     83,      2.2883,     30, 
05:35:00 30/03/2017,        1.00,     83,      2.2883,     30, 
05:40:00 30/03/2017,        0.00,     83,      2.1488,     30, 
05:46:00 30/03/2017,        1.00,     83,      2.0940,     30, 
05:48:00 30/03/2017,        1.00,     83,      2.0940,     30, 
05:53:00 30/03/2017,        1.00,     83,      2.1145,     30, 
06:00:00 30/03/2017,        0.00,     83,      3.0249,     30, 
06:03:00 30/03/2017,        1.00,     83,      3.0249,     30, 
06:17:00 30/03/2017,        1.00,     83,      2.8675,     30, 
06:23:00 30/03/2017,        2.00,     83,      2.9143,     30, 
06:24:00 30/03/2017,        1.00,     83,      2.9143,     30, 
06:26:00 30/03/2017,        1.00,     83,      2.9536,     30, 
06:30:00 30/03/2017,        0.00,     83,      3.1372,     30, 
06:39:00 30/03/2017,        1.00,     83,      3.3669,     30, 
06:52:00 30/03/2017,        1.00,     83,      3.4170,     30, 
07:00:00 30/03/2017,        1.00,     83,      3.3669,     30, 
07:04:00 30/03/2017,        1.00,     83,      3.3669,     30, 
07:06:00 30/03/2017,        1.00,     83,      3.3836,     30, 
07:08:00 30/03/2017,        1.00,     83,      3.3836,     30, 
07:10:00 30/03/2017,        0.00,     83,      3.5608,     30, 
07:12:00 30/03/2017,        1.00,     83,      3.5608,     30, 
07:20:00 30/03/2017,        0.00,     83,      5.7479,     30, 
07:21:00 30/03/2017,        1.00,     83,      5.7479,     30, 
07:40:00 30/03/2017,        1.00,     83,      4.7998,     30, 
07:51:00 30/03/2017,        1.00,     83,      5.7479,     30, 
08:00:00 30/03/2017,        0.00,     83,      7.0636,     30, 
08:03:00 30/03/2017,        1.00,     83,      7.0636,     30, 
08:05:00 30/03/2017,        1.00,     83,      7.1986,     30, 
08:07:00 30/03/2017,        1.00,     83,      7.1986,     30, 
08:09:00 30/03/2017,        1.00,     83,      7.1986,     30, 
08:10:00 30/03/2017,        1.00,     83,      7.3356,     30, 
08:17:00 30/03/2017,        1.00,     83,     10.9972,     30, 
08:21:00 30/03/2017,        1.00,     83,     11.1259,     30, 
08:24:00 30/03/2017,        1.00,     83,     11.1259,     30, 
08:26:00 30/03/2017,        1.00,     83,     11.2558,     30, 
08:27:00 30/03/2017,        1.00,     83,     11.2558,     30, 
08:28:00 30/03/2017,        1.00,     83,     11.2558,     30, 
08:29:00 30/03/2017,        2.00,     83,     11.2558,     30, 
08:31:00 30/03/2017,        1.00,     83,     11.9924,     30, 
08:32:00 30/03/2017,        1.00,     83,     11.9924,     30, 
08:33:00 30/03/2017,        1.00,     83,     11.9924,     30, 
08:34:00 30/03/2017,        1.00,     83,     11.9924,     30, 
08:35:00 30/03/2017,        1.00,     83,     13.8589,     60, 
08:37:00 30/03/2017,        1.00,     83,     13.8589,     60, 
08:40:00 30/03/2017,        1.00,     83,     17.3478,     60, 
08:41:00 30/03/2017,        1.00,     83,     17.3478,     60, 
08:42:00 30/03/2017,        1.00,     83,     17.3478,     60, 
08:44:00 30/03/2017,        1.00,     83,     17.3478,     60, 
08:47:00 30/03/2017,        1.00,     83,     20.6183,     60, 
08:50:00 30/03/2017,        0.00,     83,     22.9792,     60, 
08:54:00 30/03/2017,        1.00,     83,     22.9792,     60, 
09:00:00 30/03/2017,        0.00,     83,     25.1625,     60, 
09:10:00 30/03/2017,        0.00,     83,     25.1303,     60, 
09:13:00 30/03/2017,        1.00,     83,     25.1303,     60, 
09:22:00 30/03/2017,        1.00,     83,     25.0980,     60, 
09:26:00 30/03/2017,        1.00,     83,     24.8406,     60, 
09:27:00 30/03/2017,        1.00,     83,     24.8406,     60, 
09:29:00 30/03/2017,        1.00,     83,     24.8406,     60, 
09:30:00 30/03/2017,        1.00,     83,     24.7444,     60, 
09:31:00 30/03/2017,        1.00,     83,     24.7444,     60, 
09:36:00 30/03/2017,        1.00,     83,     26.5017,     60, 
09:40:00 30/03/2017,        1.00,     83,     27.1329,     60, 
09:45:00 30/03/2017,        1.00,     83,     27.3335,     60, 
09:46:00 30/03/2017,        1.00,     83,     27.3335,     60, 
09:47:00 30/03/2017,        1.00,     83,     27.3335,     60, 
09:48:00 30/03/2017,        1.00,     83,     27.3335,     60, 
09:49:00 30/03/2017,        1.00,     83,     27.3335,     60, 
09:52:00 30/03/2017,        1.00,     83,     27.0661,     60, 
09:58:00 30/03/2017,        1.00,     83,     27.4006,     60, 
10:00:00 30/03/2017,        1.00,     83,     30.0373,     60, 
10:01:00 30/03/2017,        1.00,     83,     30.0373,     60, 
